wavelength (nm)     Intensity (x 10^6)
321.69               43.16
324.33               68.69
326.31               93.01
328.29               112.46
330.94               119.76
333.61               116.11
336.60               116.11
338.92               125.84
340.91               136.78
343.90               142.86
346.56               140.43
348.90               129.48
350.90               119.76
353.57               110.03
356.90               103.95
360.56               101.52
363.89               94.22
367.23               82.07
370.89               71.12
374.56               62.61
378.55               58.97
382.21               58.97
385.20               66.26
387.19               77.20
388.84               90.58
390.49               105.17
391.81               120.97
392.79               135.56
393.78               152.58
394.76               165.96
395.75               182.98
396.73               200.00
397.71               218.24
398.70               234.04
399.35               252.28
400.33               269.30
401.31               289.97
402.29               308.21
403.28               324.01
404.26               345.90
405.90               376.29
407.20               407.90
408.50               444.38
410.77               514.89
412.06               561.09
413.68               619.45
415.63               674.16
416.61               694.83
418.59               711.85
421.26               693.62
422.96               657.14
423.99               619.45
425.69               575.68
427.40               517.33
429.43               469.91
432.47               417.63
436.81               395.74
440.14               395.74
444.80               382.37
448.15               356.84
452.85               305.78
457.22               246.20
461.58               210.94
465.92               181.76
475.59               155.02
482.94               123.40
487.61               99.09
494.95               69.91
503.62               49.24
516.60               33.43
523.26               24.92
529.92               18.84
543.23               12.77
550.21               10.33
