wavelength(nm)  Intensity(x 10^6)
430.81             1.38
435.61             1.07
441.04             1.69
446.16             3.71
450.32             8.24
453.52             14.64
456.40             23.23
459.28             33.86
462.15             47.76
465.35             61.51
468.23             69.31
469.19             70.56
470.79             71.19
473.03             70.72
474.95             69.15
476.87             67.43
479.10             66.65
481.98             69.14
486.14             78.51
489.02             85.39
491.26             89.76
493.50             91.32
496.38             88.97
498.93             83.97
502.45             74.59
505.97             63.96
508.53             56.77
513.01             47.08
516.84             41.14
521.00             37.23
527.40             35.35
530.60             33.78
535.07             30.18
539.87             25.96
543.39             21.58
549.15             16.26
555.54             12.19
564.50             8.90
577.29             6.23
588.49             4.35
598.40             2.77
608.32             1.98
615.99             1.50
626.55             1.18
633.26             1.17
643.18             0.69
649.89             0.69
